Sample Accession	Sample ID	Tax Id	Scientific Name	Common Name	collection date	geographic location (country and/or sea)	lat lon	latitudeN	longitudeE
SAMEA9923797	UmAsp_245	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.827000 N 20.635940 E	63.827	20.63594
SAMEA9923798	UmAsp_249	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.823390 N 20.653990 E	63.82339	20.65399
SAMEA9923799	UmAsp_250	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.890620 N 20.594820 E	63.89062	20.59482
SAMEA9923800	UmAsp_253	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.885340 N 20.629270 E	63.88534	20.62927
SAMEA9923801	UmAsp_254	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.885060 N 20.629260 E	63.88506	20.62926
SAMEA9923802	UmAsp_255	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.882560 N 20.638160 E	63.88256	20.63816
SAMEA9923805	UmAsp_257	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.880060 N 20.645660 E	63.88006	20.64566
SAMEA9923803	UmAsp_257.01	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.879960 N 20.645680 E	63.87996	20.64568
SAMEA9923804	UmAsp_257.04	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923806	UmAsp_259	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.878390 N 20.649270 E	63.87839	20.64927
SAMEA9923807	UmAsp_260	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.878120 N 20.650380 E	63.87812	20.65038
SAMEA9923808	UmAsp_262	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.876730 N 20.654830 E	63.87673	20.65483
SAMEA9923809	UmAsp_263.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.871100 N 20.683290 E	63.8711	20.68329
SAMEA9923810	UmAsp_265	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.877560 N 20.704550 E	63.87756	20.70455
SAMEA9923811	UmAsp_266	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.881450 N 20.715390 E	63.88145	20.71539
SAMEA9923812	UmAsp_267	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.886170 N 20.729550 E	63.88617	20.72955
SAMEA9923813	UmAsp_268	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.898960 N 20.765110 E	63.89896	20.76511
SAMEA9923814	UmAsp_270	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.923670 N 20.769830 E	63.92367	20.76983
SAMEA9923815	UmAsp_271	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.923400 N 20.770110 E	63.9234	20.77011
SAMEA9923816	UmAsp_272	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.939230 N 20.786220 E	63.93923	20.78622
SAMEA9923817	UmAsp_273	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.951170 N 20.793150 E	63.95117	20.79315
SAMEA9923818	UmAsp_275	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.967010 N 20.812040 E	63.96701	20.81204
SAMEA9923819	UmAsp_276	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.967290 N 20.812040 E	63.96729	20.81204
SAMEA9923820	UmAsp_277	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.986170 N 20.812310 E	63.98617	20.81231
SAMEA9923821	UmAsp_278.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.995540 N 20.807320 E	63.99554	20.80732
SAMEA9923846	UmAsp_279.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.997720 N 20.794240 E	63.99772	20.79424
SAMEA9923823	UmAsp_279.3	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.994980 N 20.757880 E	63.99498	20.75788
SAMEA9923824	UmAsp_279.4	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.994200 N 20.750320 E	63.9942	20.75032
SAMEA9923825	UmAsp_279.7	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923826	UmAsp_279.45	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.983880 N 20.727980 E	63.98388	20.72798
SAMEA9923827	UmAsp_279.51	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.982860 N 20.717940 E	63.98286	20.71794
SAMEA9923828	UmAsp_279.55	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.981100 N 20.711620 E	63.9811	20.71162
SAMEA9923829	UmAsp_279.57	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.979290 N 20.707800 E	63.97929	20.7078
SAMEA9923830	UmAsp_279.59	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.978010 N 20.705560 E	63.97801	20.70556
SAMEA9923831	UmAsp_279.61	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.972990 N 20.689730 E	63.97299	20.68973
SAMEA9923832	UmAsp_279.66	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.969130 N 20.683320 E	63.96913	20.68332
SAMEA9923833	UmAsp_279.69	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.966600 N 20.671190 E	63.9666	20.67119
SAMEA9923834	UmAsp_279.71	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.964950 N 20.663800 E	63.96495	20.6638
SAMEA9923835	UmAsp_279.74	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.960250 N 20.656080 E	63.96025	20.65608
SAMEA9923836	UmAsp_279.77	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.956750 N 20.638200 E	63.95675	20.6382
SAMEA9923837	UmAsp_279.79	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.954910 N 20.626880 E	63.95491	20.62688
SAMEA9923838	UmAsp_279.81	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.953030 N 20.621420 E	63.95303	20.62142
SAMEA9923839	UmAsp_279.83	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.951800 N 20.614350 E	63.9518	20.61435
SAMEA9923840	UmAsp_279.84	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.948440 N 20.606690 E	63.94844	20.60669
SAMEA9923841	UmAsp_279.85	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.946900 N 20.602760 E	63.9469	20.60276
SAMEA9923842	UmAsp_279.87	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.944420 N 20.591890 E	63.94442	20.59189
SAMEA9923843	UmAsp_279.89	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.940480 N 20.581450 E	63.94048	20.58145
SAMEA9923844	UmAsp_279.91	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.931300 N 20.575210 E	63.9313	20.57521
SAMEA9923845	UmAsp_279.92	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.927020 N 20.573820 E	63.92702	20.57382
SAMEA9923846	UmAsp_279	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923847	UmAsp_280	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.864500 N 20.456780 E	63.8645	20.45678
SAMEA9923848	UmAsp_281	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.863940 N 20.456770 E	63.86394	20.45677
SAMEA9923849	UmAsp_282	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.855330 N 20.467040 E	63.85533	20.46704
SAMEA9923851	UmAsp_283	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.855060 N 20.466770 E	63.85506	20.46677
SAMEA9923850	UmAsp_283.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.842160 N 20.475110 E	63.84216	20.47511
SAMEA9923852	UmAsp_285	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.747280 N 20.385660 E	63.74728	20.38566
SAMEA9923855	UmAsp_286	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.747280 N 20.386490 E	63.74728	20.38649
SAMEA9923853	UmAsp_286.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.746830 N 20.388530 E	63.74683	20.38853
SAMEA9923854	UmAsp_286.3	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.746470 N 20.392000 E	63.74647	20.392
SAMEA9923856	UmAsp_287	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.746450 N 20.398450 E	63.74645	20.39845
SAMEA9923857	UmAsp_289.5	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923858	UmAsp_289	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.745890 N 20.410110 E	63.74589	20.41011
SAMEA9923859	UmAsp_290	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.748390 N 20.384820 E	63.74839	20.38482
SAMEA9923860	UmAsp_291	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.748390 N 20.385110 E	63.74839	20.38511
SAMEA9923861	UmAsp_292	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923862	UmAsp_295	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.780330 N 20.387060 E	63.78033	20.38706
SAMEA9923863	UmAsp_296	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.795610 N 20.368160 E	63.79561	20.36816
SAMEA9923864	UmAsp_298.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.804400 N 20.359380 E	63.8044	20.35938
SAMEA9923868	UmAsp_299	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.803670 N 20.361490 E	63.80367	20.36149
SAMEA9923865	UmAsp_299.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.754030 N 20.350400 E	63.75403	20.3504
SAMEA9923866	UmAsp_299.17	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.759370 N 20.341830 E	63.75937	20.34183
SAMEA9923867	UmAsp_299.23	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.761840 N 20.337930 E	63.76184	20.33793
SAMEA9923871	UmAsp_300	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.820710 N 20.194680 E	63.82071	20.19468
SAMEA9923869	UmAsp_300.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.821050 N 20.193070 E	63.82105	20.19307
SAMEA9923870	UmAsp_300.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.821370 N 20.191650 E	63.82137	20.19165
SAMEA9923872	UmAsp_302	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.823430 N 20.182460 E	63.82343	20.18246
SAMEA9923873	UmAsp_303	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.824040 N 20.179690 E	63.82404	20.17969
SAMEA9923874	UmAsp_305.05	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.824290 N 20.135250 E	63.82429	20.13525
SAMEA9923875	UmAsp_305.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.827260 N 20.119180 E	63.82726	20.11918
SAMEA9923876	UmAsp_305.3	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.835160 N 20.103440 E	63.83516	20.10344
SAMEA9923877	UmAsp_305.4	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.850890 N 20.090250 E	63.85089	20.09025
SAMEA9923878	UmAsp_306	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.857810 N 20.077120 E	63.85781	20.07712
SAMEA9923879	UmAsp_307	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.859830 N 20.068350 E	63.85983	20.06835
SAMEA9923880	UmAsp_309.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.862140 N 20.052350 E	63.86214	20.05235
SAMEA9923881	UmAsp_310.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.864580 N 20.018940 E	63.86458	20.01894
SAMEA9923882	UmAsp_310.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.864280 N 20.017480 E	63.86428	20.01748
SAMEA9923883	UmAsp_314	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.852520 N 19.952250 E	63.85252	19.95225
SAMEA9923884	UmAsp_317	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.850980 N 19.941630 E	63.85098	19.94163
SAMEA9923885	UmAsp_318.5	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.865800 N 19.898360 E	63.8658	19.89836
SAMEA9923886	UmAsp_323	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.829810 N 19.857250 E	63.82981	19.85725
SAMEA9923887	UmAsp_325	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.808430 N 19.854710 E	63.80843	19.85471
SAMEA9923888	UmAsp_326	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.805620 N 19.852110 E	63.80562	19.85211
SAMEA9923889	UmAsp_327	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.802110 N 19.849480 E	63.80211	19.84948
SAMEA9923890	UmAsp_329	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.781470 N 19.879340 E	63.78147	19.87934
SAMEA9923891	UmAsp_332	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.776020 N 19.946290 E	63.77602	19.94629
SAMEA9923892	UmAsp_333	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923894	UmAsp_335	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.772270 N 19.991600 E	63.77227	19.9916
SAMEA9923893	UmAsp_335.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923895	UmAsp_336.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.779380 N 19.988560 E	63.77938	19.98856
SAMEA9923896	UmAsp_338	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.805550 N 19.982270 E	63.80555	19.98227
SAMEA9923897	UmAsp_340	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.799200 N 20.010680 E	63.7992	20.01068
SAMEA9923898	UmAsp_341	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.796220 N 20.013350 E	63.79622	20.01335
SAMEA9923899	UmAsp_342	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.778860 N 20.030650 E	63.77886	20.03065
SAMEA9923900	UmAsp_343	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.777960 N 20.032160 E	63.77796	20.03216
SAMEA9923901	UmAsp_345	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.782360 N 20.087650 E	63.78236	20.08765
SAMEA9923902	UmAsp_346	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.796350 N 20.140640 E	63.79635	20.14064
SAMEA9923903	UmAsp_347	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.800000 N 20.150580 E	63.8	20.15058
SAMEA9923904	UmAsp_348	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.802930 N 20.164100 E	63.80293	20.1641
SAMEA9923905	UmAsp_349.6	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.788660 N 20.202710 E	63.78866	20.20271
SAMEA9923906	UmAsp_349.7	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.784760 N 20.202810 E	63.78476	20.20281
SAMEA9923907	UmAsp_349.9	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.773460 N 20.203080 E	63.77346	20.20308
SAMEA9923908	UmAsp_351	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.750570 N 20.202810 E	63.75057	20.20281
SAMEA9923909	UmAsp_352	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.746320 N 20.198710 E	63.74632	20.19871
SAMEA9923911	UmAsp_355	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.711550 N 20.164490 E	63.71155	20.16449
SAMEA9923910	UmAsp_355.5	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.706350 N 20.156780 E	63.70635	20.15678
SAMEA9923912	UmAsp_356.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.697600 N 20.146470 E	63.6976	20.14647
SAMEA9923913	UmAsp_358.8	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.688190 N 20.137690 E	63.68819	20.13769
SAMEA9923914	UmAsp_359	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.687250 N 20.137020 E	63.68725	20.13702
SAMEA9923915	UmAsp_361.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.673700 N 20.122100 E	63.6737	20.1221
SAMEA9923916	UmAsp_361.8	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.681740 N 20.041220 E	63.68174	20.04122
SAMEA9923917	UmAsp_361.9	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.680640 N 20.032080 E	63.68064	20.03208
SAMEA9923918	UmAsp_365	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.674650 N 20.153670 E	63.67465	20.15367
SAMEA9923919	UmAsp_367	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.671820 N 20.164850 E	63.67182	20.16485
SAMEA9923920	UmAsp_368	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.671330 N 20.169280 E	63.67133	20.16928
SAMEA9923921	UmAsp_369	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923922	UmAsp_374.5	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.776790 N 20.200150 E	63.77679	20.20015
SAMEA9923923	UmAsp_374.8	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.763760 N 20.155410 E	63.76376	20.15541
SAMEA9923925	UmAsp_374.85	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.762010 N 20.151500 E	63.76201	20.1515
SAMEA9923924	UmAsp_374.9	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.757540 N 20.140070 E	63.75754	20.14007
SAMEA9923926	UmAsp_375	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.757450 N 20.136150 E	63.75745	20.13615
SAMEA9923927	UmAsp_376	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.755670 N 20.133450 E	63.75567	20.13345
SAMEA9923928	UmAsp_384	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.775510 N 20.209340 E	63.77551	20.20934
SAMEA9923929	UmAsp_386	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.773440 N 20.219540 E	63.77344	20.21954
SAMEA9923930	UmAsp_391	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.763590 N 20.243250 E	63.76359	20.24325
SAMEA9923931	UmAsp_392	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.766390 N 20.260340 E	63.76639	20.26034
SAMEA9923932	UmAsp_394	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.766630 N 20.276140 E	63.76663	20.27614
SAMEA9923933	UmAsp_395	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923934	UmAsp_402	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923935	UmAsp_403	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923936	UmAsp_405	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.957890 N 20.626490 E	63.95789	20.62649
SAMEA9923937	UmAsp_406	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.958390 N 20.626290 E	63.95839	20.62629
SAMEA9923938	UmAsp_407	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.959540 N 20.624500 E	63.95954	20.6245
SAMEA9923939	UmAsp_408	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.961430 N 20.624020 E	63.96143	20.62402
SAMEA9923940	UmAsp_409	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.964170 N 20.623310 E	63.96417	20.62331
SAMEA9923941	UmAsp_410	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.967270 N 20.618260 E	63.96727	20.61826
SAMEA9923942	UmAsp_411	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.967780 N 20.617950 E	63.96778	20.61795
SAMEA9923943	UmAsp_412	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923944	UmAsp_413	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.969070 N 20.617740 E	63.96907	20.61774
SAMEA9923945	UmAsp_414	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.969800 N 20.617710 E	63.9698	20.61771
SAMEA9923946	UmAsp_415	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.970410 N 20.617640 E	63.97041	20.61764
SAMEA9923947	UmAsp_416	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923948	UmAsp_420	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.976040 N 20.608880 E	63.97604	20.60888
SAMEA9923949	UmAsp_421	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.979290 N 20.606710 E	63.97929	20.60671
SAMEA9923950	UmAsp_422	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.984790 N 20.599150 E	63.98479	20.59915
SAMEA9923951	UmAsp_424	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.990870 N 20.598150 E	63.99087	20.59815
SAMEA9923952	UmAsp_425	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.998210 N 20.590030 E	63.99821	20.59003
SAMEA9923953	UmAsp_429	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.003100 N 20.579970 E	64.0031	20.57997
SAMEA9923954	UmAsp_430	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.003930 N 20.579340 E	64.00393	20.57934
SAMEA9923955	UmAsp_434	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.014880 N 20.572290 E	64.01488	20.57229
SAMEA9923956	UmAsp_435	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.015840 N 20.568670 E	64.01584	20.56867
